Exercise,muscles_primary,muscles_secondary,exercise_complexity,exercise_level,movement_pattern,body_region,skill_category,laterallity,resistance_type,equipment
Dumbbell Wrist Reverse Curl,forearms,,isolation,beginner,,upper,,bilateral,free weight,dumbbell
Lying Leg Curl Machine,hamstrings,,isolation,beginner,,lower,,bilateral,machine,machines
Dumbbell Concentration Curl,biceps,,isolation,beginner,,upper,,unilateral,free weight,dumbbell
Parallel Bars Row,lats,biceps,compound,intermediate,horizontal pull,upper,,bilateral,bodyweight,parallel bars
Dumbbell Kickback,triceps,,isolation,beginner,,upper,,unilateral,free weight,dumbbell
One Arm Overhead Tricep Extension,triceps,,isolation,intermediate,,upper,,unilateral,free weight,dumbbell
Single Dumbbell Close Floor Press,chest,triceps,compound,beginner,horizontal push,upper,,bilateral,free weight,dumbbell
Single Dumbbell Decline Press,chest,triceps,compound,intermediate,horizontal push,upper,,unilateral,free weight,dumbbell
Single Dumbbell Double Floor Press,chest,triceps,compound,intermediate,horizontal push,upper,,bilateral,free weight,dumbbell
Single Arm Cable Pushdown,triceps,,isolation,beginner,,upper,,unilateral,cable,cable
Single Dumbbell Floor Flys,chest,,isolation,beginner,,upper,,unilateral,free weight,dumbbell
Single Dumbbell Floor Press,chest,triceps,compound,beginner,horizontal push,upper,,unilateral,free weight,dumbbell
Curtsy Squat,quads,glutes,compound,intermediate,squat,lower,,unilateral,bodyweight,
Seated Leg Curl Machine,hamstrings,,isolation,beginner,,lower,,bilateral,machine,machines
Hip Rotation Frog Stretch,hips,,isolation,beginner,,lower,,bilateral,bodyweight,
Cable Crunch,abs,,isolation,beginner,core,core,,bilateral,cable,cable
Horiz. Ring Row,lats,biceps,compound,beginner,horizontal pull,upper,,bilateral,bodyweight,rings
Deficit Bulgarian Split Squat,quads,glutes,compound,advanced,squat,lower,,unilateral,free weight,dumbbell
Crunch,abs,,isolation,beginner,core,core,,bilateral,bodyweight,
Hand Stand,shoulders,core,compound,advanced,skill,upper,handstand,bilateral,bodyweight,
Jumping Lunges,quads,glutes,compound,intermediate,squat,lower,plyometrics,unilateral,bodyweight,
Standing Hip CARs,hips,,isolation,beginner,,lower,,unilateral,bodyweight,
Reverse Sliding Lunge,quads,glutes,compound,intermediate,squat,lower,,unilateral,bodyweight,
Sliding Cossack Squat,quads,glutes,compound,intermediate,squat,lower,,unilateral,bodyweight,
Alternating Single Leg Extension,quads,,isolation,intermediate,,lower,,unilateral,machine,machines
Reverse Nordic Curls,quads,,isolation,advanced,,lower,,bilateral,bodyweight,
Leg Extension,quads,,isolation,beginner,,lower,,bilateral,machine,machines
Sissy Squat,quads,,isolation,intermediate,,lower,,bilateral,bodyweight,
Front Twist Raises,shoulders,,isolation,beginner,,upper,,bilateral,free weight,dumbbell
Split Squat,quads,glutes,compound,beginner,squat,lower,,unilateral,free weight,dumbbell
Straight Bar Dip,triceps,chest,compound,intermediate,vertical push down,upper,,bilateral,bodyweight,bar
Ring Face Pull,rear delts,upper back,compound,intermediate,horizontal pull,upper,,bilateral,bodyweight,rings
Lunges,quads,glutes,compound,beginner,squat,lower,,unilateral,bodyweight,
Pistol Squat,quads,glutes,compound,advanced,squat,lower,,unilateral,bodyweight,
Muscle Up,lats,chest,compound,advanced,skill,upper,muscle up,bilateral,bodyweight,bar
One Leg Front Lever Raise & Neg.,lats,core,compound,intermediate,skill,upper,front lever,bilateral,bodyweight,bar
Tricep Extension Push Up,triceps,chest,compound,intermediate,horizontal push,upper,,bilateral,bodyweight,
Planche Lean,chest,shoulders,compound,intermediate,skill,upper,planche,bilateral,bodyweight,
Skin The Cat,lats,shoulders,compound,intermediate,skill,upper,,bilateral,bodyweight,bar
Wall Handstand Push Up,shoulders,triceps,compound,advanced,vertical push up,upper,handstand,bilateral,bodyweight,
Single Leg Extension,quads,,isolation,beginner,,lower,,unilateral,machine,machines
Wall Sit,quads,,isolation,beginner,squat,lower,,bilateral,bodyweight,
Archer Ring Row,lats,biceps,compound,advanced,horizontal pull,upper,,unilateral,bodyweight,rings
Wall Hand Stand,shoulders,core,compound,intermediate,skill,upper,handstand,bilateral,bodyweight,
Single Dumbbell Floor Lateral Flys,chest,,isolation,beginner,,upper,,unilateral,free weight,dumbbell

